"01 Dronningen "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"011 Statsydelse "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"0111 Statsydelse "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"011101 Statsydelse "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"01110110 Almindelig virksomhed "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"22 Andre ordinære driftsomkostninger "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"02 Medlemmer af det kongelige hus m.fl. "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"021 Årpenge mv. "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"0211 Årpenge mv. "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"021101 Årpenge mv. "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"02110110 Almindelig virksomhed "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"22 Andre ordinære driftsomkostninger "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"03 Folketinget "; 1218,8; 1227,6; 1344,7; 1234,0; 1234,0; 1234,0
"031 Udgifter ved Folketinget "; 820,0; 810,6; 917,1; 815,8; 815,8; 815,8
"0311 Folketinget "; 820,0; 810,6; 917,1; 815,8; 815,8; 815,8
"031101 Folketinget "; 418,5; 440,0; 528,3; 453,6; 453,6; 453,6
"03110110 Almindelig virksomhed "; 403,7; 404,5; 512,8; 416,4; 421,9; 421,9
"11 Salg af varer "; -3,6; -3,8; -4,4; -4,4; -4,4; -4,4
"16 Husleje, leje af arealer,leasing "; 16,2; 17,0; 20,1; 17,3; 17,3; 17,3
"18 Lønninger / personaleomkostninger "; 243,7; 249,2; 290,5; 258,9; 257,7; 257,7
"22 Andre ordinære driftsomkostninger "; 147,2; 130,8; 194,9; 133,0; 140,2; 140,2
"26 Finansielle omkostninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"44 Tilskud til personer "; 0,2; 0,0; 0,6; 0,5; 0,0; 0,0
"51 Anlægsaktiver (anskaffelser) "; 0,0; 11,3; 11,1; 11,1; 11,1; 11,1
"03110130 Udvalgsarbejde "; 4,8; 16,6; 0,3; 14,7; 14,7; 14,7
"22 Andre ordinære driftsomkostninger "; 4,8; 16,6; 0,3; 14,7; 14,7; 14,7
"03110140 Interparlamentariske forsamlinger "; 10,1; 18,9; 15,2; 22,5; 17,0; 17,0
"22 Andre ordinære driftsomkostninger "; 1,2; 9,5; 6,3; 12,9; 7,4; 7,4
"41 Overførselsudgifter til EU og øvrige udland "; 8,8; 9,4; 8,9; 9,6; 9,6; 9,6
"031103 Folketingets medlemmer "; 397,7; 366,7; 377,3; 358,3; 358,3; 358,3
"03110310 Folketingsvederlag og boliggodtgørelse "; 174,5; 156,5; 156,7; 147,7; 147,7; 147,7
"22 Andre ordinære driftsomkostninger "; 3,1; 3,5; 3,7; 3,6; 3,6; 3,6
"44 Tilskud til personer "; 171,4; 153,0; 153,0; 144,1; 144,1; 144,1
"03110320 Befordringsudgifter "; 7,8; 10,2; 8,8; 9,8; 9,8; 9,8
"22 Andre ordinære driftsomkostninger "; 7,8; 10,2; 8,8; 9,8; 9,8; 9,8
"03110330 Folketingsgruppestøtte "; 215,3; 200,0; 211,8; 200,8; 200,8; 200,8
"46 Tilskud til anden virks. og invest.tilskud "; 215,3; 200,0; 211,8; 200,8; 200,8; 200,8
"031104 Fhv folketingsmedlemmers efterudd "; 1,0; 0,0; 7,6; 0,0; 0,0; 0,0
"03110410 Efteruddannelse "; 1,0; 0,0; 7,6; 0,0; 0,0; 0,0
"22 Andre ordinære driftsomkostninger "; 1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"44 Tilskud til personer "; 0,0; 0,0; 7,6; 0,0; 0,0; 0,0
"031106 Medlemsboliger "; 2,7; 3,9; 3,9; 3,9; 3,9; 3,9
"03110610 Drift af medlemsboliger "; 2,7; 3,9; 3,9; 3,9; 3,9; 3,9
"16 Husleje, leje af arealer,leasing "; 1,4; 1,7; 1,6; 1,6; 1,6; 1,6
"22 Andre ordinære driftsomkostninger "; 1,4; 0,4; 0,6; 0,6; 0,6; 0,6
"51 Anlægsaktiver (anskaffelser) "; 0,0; 1,8; 1,7; 1,7; 1,7; 1,7
"032 Folketingets Ombudsmand "; 91,4; 93,3; 101,9; 94,3; 94,3; 94,3
"0321 Folketingets Ombudsmand "; 91,4; 93,3; 101,9; 94,3; 94,3; 94,3
"032101 Folketingets Ombudsmand "; 91,4; 93,3; 101,9; 94,3; 94,3; 94,3
"03210110 Almindelig virksomhed "; 91,4; 93,3; 101,9; 94,3; 94,3; 94,3
"11 Salg af varer "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"16 Husleje, leje af arealer,leasing "; 6,1; 6,1; 6,4; 6,4; 6,4; 6,4
"18 Lønninger / personaleomkostninger "; 74,2; 73,9; 82,2; 74,6; 74,6; 74,6
"22 Andre ordinære driftsomkostninger "; 11,1; 13,4; 13,4; 13,4; 13,4; 13,4
"26 Finansielle omkostninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"03210197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"11 Salg af varer "; -0,6; -0,9; -0,9; -0,9; -0,9; -0,9
"18 Lønninger / personaleomkostninger "; 0,5; 0,7; 0,7; 0,7; 0,7; 0,7
"22 Andre ordinære driftsomkostninger "; 0,2; 0,2; 0,2; 0,2; 0,2; 0,2
"033 Statsrevisorerne og Rigsrevisionen "; 219,5; 233,9; 233,6; 233,2; 233,2; 233,2
"0331 Statsrevisorerne og Rigsrevisionen "; 219,5; 233,9; 233,6; 233,2; 233,2; 233,2
"033101 Statsrevisorerne "; 5,1; 5,5; 5,9; 5,5; 5,5; 5,5
"03310110 Almindelig virksomhed "; 5,1; 5,5; 5,9; 5,5; 5,5; 5,5
"18 Lønninger / personaleomkostninger "; 2,6; 2,6; 2,9; 2,6; 2,6; 2,6
"22 Andre ordinære driftsomkostninger "; 0,5; 1,0; 1,0; 1,0; 1,0; 1,0
"44 Tilskud til personer "; 2,0; 1,9; 2,0; 1,9; 1,9; 1,9
"033111 Rigsrevisionen "; 214,4; 228,4; 227,7; 227,7; 227,7; 227,7
"03311110 Almindelig virksomhed "; 214,4; 228,4; 227,7; 227,7; 227,7; 227,7
"11 Salg af varer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"16 Husleje, leje af arealer,leasing "; 13,0; 14,7; 13,5; 13,5; 13,5; 13,5
"17 Internt statsligt køb af varer og tjenester "; 0,9; 1,2; 0,9; 0,9; 0,9; 0,9
"18 Lønninger / personaleomkostninger "; 176,1; 184,1; 185,8; 185,8; 185,8; 185,8
"20 Af- og nedskrivninger "; 1,3; 2,6; 2,6; 2,6; 2,6; 2,6
"22 Andre ordinære driftsomkostninger "; 18,5; 25,6; 24,7; 24,7; 24,7; 24,7
"26 Finansielle omkostninger "; 0,1; 0,2; 0,2; 0,2; 0,2; 0,2
"74 Fri egenkapital (budget. af årets resultat) "; 4,4; 0,0; 0,0; 0,0; 0,0; 0,0
"034 Folketingets pensioner "; 88,0; 89,8; 92,1; 90,7; 90,7; 90,7
