"01 Kongen "; 88,9; 92,6; 149,2; 94,4; 94,4; 94,4
"011 Statsydelse "; 88,9; 92,6; 149,2; 94,4; 94,4; 94,4
"0111 Statsydelse "; 88,9; 92,6; 149,2; 94,4; 94,4; 94,4
"011101 Statsydelse "; 88,9; 92,6; 149,2; 94,4; 94,4; 94,4
"01110110 Almindelig virksomhed "; 88,9; 92,6; 149,2; 94,4; 94,4; 94,4
"22 Andre ordinære driftsomkostninger "; 88,9; 92,6; 149,2; 94,4; 94,4; 94,4
"02 Medlemmer af det kongelige hus m.fl. "; 27,6; 28,8; 19,0; 32,1; 32,1; 32,1
"021 Årpenge mv. "; 27,6; 28,8; 19,0; 32,1; 32,1; 32,1
"0211 Årpenge mv. "; 27,6; 28,8; 19,0; 32,1; 32,1; 32,1
"021101 Årpenge mv. "; 27,6; 28,8; 19,0; 32,1; 32,1; 32,1
"02110110 Almindelig virksomhed "; 27,6; 28,8; 19,0; 32,1; 32,1; 32,1
"22 Andre ordinære driftsomkostninger "; 27,6; 28,8; 19,0; 32,1; 32,1; 32,1
"03 Folketinget "; 1339,9; 1323,5; 1498,6; 1393,0; 1395,9; 1395,8
"031 Udgifter ved Folketinget "; 916,7; 877,7; 1038,6; 931,3; 929,2; 929,1
"0311 Folketinget "; 916,7; 877,7; 1038,6; 931,3; 929,2; 929,1
"031101 Folketinget "; 536,5; 504,6; 623,7; 526,3; 525,5; 525,5
"03110110 Almindelig virksomhed "; 515,8; 465,8; 587,0; 490,1; 489,3; 489,3
"11 Salg af varer "; -5,1; -4,5; -5,4; -5,4; -5,4; -5,4
"16 Husleje, leje af arealer,leasing "; 18,5; 20,4; 21,3; 21,3; 21,3; 21,3
"18 Lønninger / personaleomkostninger "; 294,9; 287,5; 302,1; 299,7; 299,7; 299,7
"22 Andre ordinære driftsomkostninger "; 206,7; 150,1; 255,2; 163,2; 162,4; 162,4
"25 Finansielle indtægter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"26 Finansielle omkostninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"44 Tilskud til personer "; 0,7; 0,5; 0,0; 0,0; 0,0; 0,0
"46 Tilskud til anden virks. og invest.tilskud "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"51 Anlægsaktiver (anskaffelser) "; 0,0; 11,8; 13,8; 11,3; 11,3; 11,3
"03110130 Udvalgsarbejde "; 7,8; 15,3; 17,8; 17,5; 17,5; 17,5
"22 Andre ordinære driftsomkostninger "; 7,8; 15,3; 17,8; 17,5; 17,5; 17,5
"03110140 Interparlamentariske forsamlinger "; 12,8; 23,5; 18,9; 18,7; 18,7; 18,7
"22 Andre ordinære driftsomkostninger "; 4,0; 13,4; 7,8; 8,0; 8,0; 8,0
"41 Overførselsudgifter til EU og øvrige udland "; 8,8; 10,1; 11,1; 10,7; 10,7; 10,7
"031103 Folketingets medlemmer "; 375,3; 369,0; 409,6; 396,8; 396,8; 396,8
"03110310 Folketingsvederlag og boliggodtgørelse "; 156,1; 152,7; 178,4; 159,6; 159,6; 159,6
"22 Andre ordinære driftsomkostninger "; 3,6; 3,8; 3,5; 3,8; 3,8; 3,8
"44 Tilskud til personer "; 152,5; 148,9; 174,9; 155,8; 155,8; 155,8
"03110320 Befordringsudgifter "; 7,5; 10,1; 9,0; 10,0; 10,0; 10,0
"22 Andre ordinære driftsomkostninger "; 7,5; 10,1; 14,0; 10,0; 10,0; 10,0
"34 Øvrige overførselsindtægter "; 0,0; 0,0; -5,0; 0,0; 0,0; 0,0
"03110330 Folketingsgruppestøtte "; 211,7; 206,2; 222,2; 227,2; 227,2; 227,2
"46 Tilskud til anden virks. og invest.tilskud "; 211,7; 206,2; 222,2; 227,2; 227,2; 227,2
"031104 Folketingsmedlemmers efteruddannelse "; 0,2; 0,0; 0,7; 3,6; 2,3; 2,2
"03110410 Efteruddannelse "; 0,2; 0,0; 0,7; 3,6; 2,3; 2,2
"22 Andre ordinære driftsomkostninger "; 0,2; 0,0; 0,7; 3,6; 2,3; 2,2
"031106 Medlemsboliger "; 4,8; 4,1; 4,6; 4,6; 4,6; 4,6
"03110610 Drift af medlemsboliger "; 4,8; 4,1; 4,6; 4,6; 4,6; 4,6
"16 Husleje, leje af arealer,leasing "; 1,5; 1,7; 2,0; 2,0; 2,0; 2,0
"22 Andre ordinære driftsomkostninger "; 3,2; 0,8; 0,9; 0,9; 0,9; 0,9
"26 Finansielle omkostninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"51 Anlægsaktiver (anskaffelser) "; 0,0; 1,6; 1,7; 1,7; 1,7; 1,7
"032 Folketingets Ombudsmand "; 97,8; 106,7; 111,8; 112,9; 112,9; 112,9
"0321 Folketingets Ombudsmand "; 97,8; 106,7; 111,8; 112,9; 112,9; 112,9
