Personalekategori,Stilling,Løntrin,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
46 - Jurister/økonomer,Chefkonsulent,LR 36 (u.åremål),16.9,49874,0,10880,2085,7146,0,4447,0,74432,"2025, 3. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,"AC basisløntrin 4, 2-årigt",6.0,29311,0,6030,3771,356,0,1111,0,40580,"2025, 3. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 5,6.0,31590,0,6646,3860,1424,0,1736,0,45257,"2025, 3. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Kontorchef,LR 37 (m.åremål),4.0,55878,0,13884,6038,0,13821,8334,0,97955,"2025, 3. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Specialkonsulent,LR 35 (u.åremål),10.0,46335,0,9638,2055,3850,0,3292,0,65170,"2025, 3. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkonsulent,LR 36 (u.åremål),6.0,49874,0,11002,0,9917,0,1528,0,72321,"2025, 3. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,Specialkonsulent,LR 35 (u.åremål),8.9,46299,0,8850,0,1714,0,562,0,57424,"2025, 3. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,Afdelingschef,LR 39 (m.åremål),6.0,81927,0,21938,5083,9982,23787,0,0,142717,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Bachelorfuldmægtig,AC basisløntrin 1,8.5,26607,0,4969,0,0,0,0,0,31575,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkonsulent,LR 36 (u.åremål),41.8,49874,0,11111,2061,3863,4610,2242,0,73762,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,"AC basisløntrin 4, 2-årigt",55.0,29165,0,6432,5085,1592,0,220,0,42494,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 5,20.0,31590,0,7120,4117,3761,0,0,0,46587,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 6,22.0,33669,0,7901,4306,5730,408,47,0,52060,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 8,18.0,35716,0,8401,5496,4009,1575,0,0,55197,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Kontorchef,LR 37 (m.åremål),19.0,57914,0,14883,0,13177,10490,1053,0,97516,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Specialkonsulent,LR 35 (u.åremål),44.3,46194,153,9656,1510,1655,2823,545,0,62536,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
93 - Særligt aflønnede,'-,Trin 0,13.0,21832,0,2039,0,0,0,0,0,23871,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Kontorfuldmægtig,"Løngrp. 3, Hovedstad, Løntrin 1",7.9,30748,0,6004,715,4173,627,127,3,42398,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Kontorfuldmægtig,"Løngrp. 3, Hovedstad, Løntrin 2",4.0,32459,0,7116,0,10252,524,438,13,50801,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Studentermedhjælper,Trin 4,3.8,21093,0,2912,73,0,0,0,0,24079,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Studentermedhjælper,Trin 5,4.1,21611,0,2975,80,0,0,0,0,24666,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,"AC basisløntrin 4, 2-årigt",17.9,29211,100,5990,3758,132,0,0,0,39192,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 5,10.8,31590,0,6650,4049,1224,0,0,0,43512,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 6,10.0,33668,0,7057,4252,1346,0,0,0,46323,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 8,18.6,35612,116,7789,4549,2930,180,0,0,51176,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Souschef,LR 36 (u.åremål),4.8,50172,0,10974,0,6523,853,259,0,68781,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Specialkonsulent,LR 35 (u.åremål),13.0,46335,0,8625,49,1932,0,141,0,57082,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,Kontorfunktionær,"Løngrp. 3, Provins, Løntrin 1",15.8,29819,0,5363,0,2444,0,53,0,37679,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,Kontorfunktionær,"Løngrp. 2, Provins, Sats II",7.8,28295,0,4808,0,485,0,107,0,33694,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,Studentermedhjælper,Trin 3,3.9,19529,0,2890,261,0,0,0,0,22680,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
303 - Polititjenestemænd,Seniorefterforsker,Trin 1,8.0,40603,0,8557,12032,0,0,104,0,61297,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
46 - Jurister/økonomer,Fuldmægtig,"AC basisløntrin 4, 2-årigt",15.8,29311,0,5992,3771,130,0,0,0,39204,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.61 - Datatilsynet,Andet
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 5,6.0,31590,0,6816,3771,2425,0,0,0,44603,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.61 - Datatilsynet,Andet
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 6,5.0,33669,0,7327,4306,2804,0,1627,0,49732,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.61 - Datatilsynet,Andet
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 8,5.8,35716,0,8138,5190,4599,0,0,0,53643,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.61 - Datatilsynet,Andet
46 - Jurister/økonomer,Kontorchef,LR 37 (m.åremål),4.0,55878,0,13515,642,5233,12159,2500,0,89927,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.61 - Datatilsynet,Andet
46 - Jurister/økonomer,Specialkonsulent,LR 35 (u.åremål),13.6,46604,0,9256,32,3355,105,1296,0,60648,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.61 - Datatilsynet,Andet
240 - Kontorfunktionærer,Kontorfunktionær,"Løngrp. 3, Hovedstad, Løntrin 1",4.8,30748,0,5944,535,3974,612,116,0,41928,"2025, 3. kvt.",§11 - Justitsministeriet,§11.11.61 - Datatilsynet,Andet
22 - Civiløkonomer,Chefkonsulent,LR 36 (u.åremål),9.0,50759,0,10274,211,4791,0,665,7,66707,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
22 - Civiløkonomer,Specialkonsulent,LR 35 (u.åremål),8.0,46612,0,9151,151,2448,334,0,0,58695,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
36 - Bygningskonstruktør,Bygningskonstruktør,AC basisløntrin 7,5.0,34099,0,7783,1853,6552,0,0,0,50287,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
38 - Bibliotekarer,Specialkonsulent,LR 35 (u.åremål),4.0,46539,0,8919,0,1724,0,750,0,57932,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,Chefkonsulent,LR 36 (u.åremål),7.0,51012,0,10984,0,7767,910,738,1,71413,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,Specialkonsulent,LR 35 (u.åremål),12.6,46511,0,9295,0,2117,1682,438,80,60123,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
43 - Arkitekter,Specialkonsulent,LR 35 (u.åremål),4.0,46335,0,9381,0,4485,0,0,0,60202,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Bilinspektør (C.ing),LR 35 (u.åremål),5.0,46778,0,10133,90,8110,0,250,1746,67107,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Chefkonsulent,LR 36 (u.åremål),35.7,50023,0,10581,102,7102,225,864,0,68898,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Fuldmægtig,"AC basisløntrin 4, 2-årigt",5.0,29311,0,7485,3017,8930,0,683,0,49427,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Sektionsleder,LR 36 (pers.ledelse u.åremål),7.0,52921,0,12574,77,15493,0,1845,0,82910,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Specialkonsulent,LR 35 (u.åremål),32.0,46683,239,9640,73,4890,366,455,14,62361,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Advokaturchef,LR 37 (m.åremål),21.0,57546,0,14039,0,6852,12196,3945,0,94578,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Afdelingschef,LR 38 (m.åremål),5.0,63258,0,18299,0,18991,17997,0,0,118546,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Afdelingsleder,LR 36 (pers.ledelse u.åremål),5.0,52921,0,12073,648,10777,1369,2167,0,79955,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Analytiker,LR 35 (u.åremål),10.9,47126,0,9026,0,1210,509,559,0,58430,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Analytiker,"AC basisløntrin 4, 2-årigt",5.0,29311,0,6184,3771,1206,0,0,0,40473,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Analytiker,AC basisløntrin 5,6.1,30894,767,6792,3688,2303,0,340,0,44783,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Analytiker,AC basisløntrin 6,7.8,33668,0,7723,4249,3757,394,133,0,49925,"2025, 3. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
