Personalekategori,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
46 - Jurister/økonomer,53.1,46259,0,10451,3353,4430,2206,4255,0,70953,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,10.8,26190,0,4680,70,2981,0,1000,48,34969,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,25.9,47362,0,10379,4811,3527,905,1402,0,68386,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
240 - Kontorfunktionærer,3.5,25943,0,4802,0,3292,0,483,0,34520,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,205.9,42835,68,9818,3254,4068,3322,602,0,63968,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
49 - Magistre,8.4,47857,0,12353,1780,8898,9184,317,0,80389,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
93 - Særligt aflønnede,16.0,22294,0,2432,0,0,0,0,0,24726,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
201 - Tjenestemænd,4.0,60325,0,16536,36515,0,4811,417,0,118604,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,42.1,26941,0,4841,491,2232,425,87,3,35020,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,81.1,37459,27,7793,3112,2548,93,38,0,51069,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,32.7,28194,138,4980,18,1753,0,108,0,35191,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,23.6,44641,0,9498,2771,3760,1413,435,0,62518,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
240 - Kontorfunktionærer,9.5,29064,0,5130,0,1998,0,237,0,36429,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
303 - Polititjenestemænd,11.0,42323,0,8924,12545,0,0,76,0,63868,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
22 - Civiløkonomer,29.0,47942,0,10211,1244,6419,342,800,1,66958,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
35 - Fysioterapeuter,7.5,35362,0,8371,1878,6268,0,0,0,51880,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
36 - Bygningskonstruktør,12.7,34842,0,8256,1433,8734,0,276,1,53542,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
38 - Bibliotekarer,12.9,45851,0,9400,1301,3730,281,419,0,60982,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,34.1,46636,0,10096,795,5350,1392,373,34,64676,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
43 - Arkitekter,6.8,45259,0,9333,565,4866,0,518,0,60541,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,123.3,45608,135,10094,540,7776,678,404,12,65248,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,1683.8,42570,65,9213,2073,4155,1339,1130,64,60608,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,442.3,44345,12,9237,1182,4253,307,314,16,59665,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
54 - Maskinmestre,5.9,36892,0,10387,0,19118,0,169,77,66643,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,41.5,36925,0,9633,243,13825,1553,252,0,62431,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
86 - Jordbrugsakademikere,4.0,50202,0,12188,1392,10195,4898,313,0,79188,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
103 - Særligt aflønnede,150.2,37034,45,6051,2429,0,0,190,1013,46763,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
172 - Lærlinge og elever,4.0,19972,0,3461,0,0,0,0,29,23463,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
175 - Daktyloskopit. og måleoperatør,110.5,26251,0,5418,151,1225,137,194,2336,35712,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,42.7,30092,0,7100,123,9591,1006,332,253,48496,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
193 - Socialrådgivere,38.0,32979,0,7810,35,7672,95,281,278,49152,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,258.4,37944,265,7529,4952,3633,429,1414,205,56370,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),72.0,61614,0,13614,14266,6759,19390,598,304,116546,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
224 - Servicemedarbejdere,41.7,28113,0,5167,278,3748,760,194,424,38683,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
226 - Fagfotografer,4.0,29028,0,6253,298,8213,0,208,29,44030,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,360.1,33757,140,7670,201,12192,321,750,355,55387,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,2440.0,29936,39,5423,185,2037,309,196,418,38544,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
249 - Politikadetter,200.7,27605,0,4815,314,0,0,155,2874,35763,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,10686.4,34695,77,5852,2831,33,106,488,2627,46710,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,175.0,45405,94,10360,1950,6115,2902,1051,21,67898,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
49 - Magistre,9.1,42354,0,9790,512,10296,0,183,0,63134,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
67 - Læger i Staten,4.8,50909,0,14537,45,23763,3546,0,0,92800,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
127 - Tjenestemænd,6.0,34200,0,6831,191,6105,1839,694,20,49880,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
193 - Socialrådgivere,4.0,36026,0,8525,98,8541,0,208,0,53397,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
201 - Tjenestemænd,22.9,49934,236,10115,14304,2186,103,1037,0,77914,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
207 - Tjenestemænd (åremål),7.0,67504,0,14690,20087,4583,20438,298,0,127600,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
224 - Servicemedarbejdere,6.5,26412,0,5083,74,5678,308,127,9,37690,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
238 - IT-medarbejdere,7.4,33797,0,8551,0,17848,574,675,10,61454,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
240 - Kontorfunktionærer,87.1,28091,0,4973,46,2130,249,325,20,35834,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
23 - Hjælpepræster,3.5,36180,0,8217,4527,4775,0,238,0,53938,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
46 - Jurister/økonomer,183.7,42553,38,9195,3051,3087,1260,260,1,59444,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
49 - Magistre,70.5,39561,199,8624,1264,5858,167,139,6,55817,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
67 - Læger i Staten,19.3,46421,0,12304,1885,18468,557,130,0,79765,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
93 - Særligt aflønnede,6.4,37026,0,6628,3528,259,0,194,27,47661,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
103 - Særligt aflønnede,31.8,38340,0,7679,6969,2331,52,198,106,55675,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
121 - Speciallæger,3.4,72577,0,1796,0,3385,0,0,0,77758,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
127 - Tjenestemænd,2041.8,29942,15,4857,3772,2492,1002,215,2815,45109,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
135 - Institutiionsmedarbejdere,57.1,25346,0,4575,1827,1932,321,146,3393,37541,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
137 - Pædagogiske assistenter,65.5,27253,0,6857,1942,5986,382,165,1871,44457,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
138 - Transportbetjente,183.1,25459,0,4160,1299,546,103,95,291,31953,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
143 - Vejledere,15.1,34107,391,7606,2128,2842,220,55,5,47354,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
151 - Fængselslærere m.fl.,107.1,33845,163,7716,1892,4023,230,135,20,48025,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
152 - Fængselsbetjente og værkmestre,31.2,32034,0,5461,0,0,0,112,1796,39402,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
179 - Håndværkere og Teknikere,19.3,29457,0,6077,339,5725,379,34,15,42026,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
193 - Socialrådgivere,594.5,32381,93,7140,1061,4044,369,145,470,45702,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
201 - Tjenestemænd,68.6,35271,0,7262,4271,5812,628,221,1252,54718,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
202 - Tjenestemænd - PP,418.5,24158,0,3644,238,314,112,22,1803,30292,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
207 - Tjenestemænd (åremål),10.0,59334,0,11735,12054,2585,12369,483,0,98560,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
211 - Tjenestemandslignende,6.1,25116,0,4034,1062,896,0,0,2902,34009,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
221 - Køkkenmedhjælpere,22.0,24371,0,4057,56,996,57,91,1337,30965,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
224 - Servicemedarbejdere,23.0,25853,0,4753,191,4187,294,156,54,35489,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
240 - Kontorfunktionærer,330.2,29423,124,5650,255,3840,131,124,197,39744,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
248 - Specialarbejdere m.fl.,14.8,25526,0,4563,321,4027,444,158,21,35060,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
251 - Sygeplejersker,85.0,35479,0,7425,73,2236,517,170,543,46441,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
258 - Kokke og kogersker,6.0,28215,0,5277,43,5600,0,292,262,39689,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
266 - Køkkenpersonale,10.9,25637,0,5636,49,3013,340,153,426,35255,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
39 - Erhvervss.kandidater,4.0,45145,0,8765,1194,1408,0,731,0,57243,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
44 - Ingeniører,6.0,44365,0,9843,1478,7986,0,0,0,63671,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
46 - Jurister/økonomer,66.6,44540,1058,10108,2752,5659,508,663,0,65290,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
49 - Magistre,19.9,47157,299,10722,1310,9872,0,318,0,69676,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
201 - Tjenestemænd,6.3,38119,1910,9227,6184,10398,0,0,905,66743,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
238 - IT-medarbejdere,44.5,39160,476,7655,28,6789,156,26,101,54391,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
240 - Kontorfunktionærer,25.8,27989,521,5411,23,4706,0,77,454,39180,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
38 - Bibliotekarer,4.9,39556,0,8247,0,4890,0,488,0,53181,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
39 - Erhvervss.kandidater,3.2,45664,2691,9354,0,2370,0,0,0,60080,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
44 - Ingeniører,7.3,41259,1812,9259,1051,6387,0,0,0,59768,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
46 - Jurister/økonomer,293.9,39545,252,9532,7961,3904,3047,191,0,64432,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
49 - Magistre,19.7,41821,0,8567,1502,3456,0,0,0,55347,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
103 - Særligt aflønnede,8.6,79082,0,309,0,0,0,528,0,79919,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
201 - Tjenestemænd,565.1,59528,64,13810,2437,23107,225,190,24,99384,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
224 - Servicemedarbejdere,12.2,27215,0,4910,364,3744,127,921,21,37302,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
238 - IT-medarbejdere,17.0,38242,0,7035,17,4500,0,201,0,49996,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
240 - Kontorfunktionærer,1200.8,31284,116,5583,112,1799,108,359,36,39397,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
252 - Vagtfunktionærer,62.8,27099,19,4807,52,3412,140,1171,54,36755,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
46 - Jurister/økonomer,23.6,43857,0,9403,2701,4019,818,979,0,61778,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.04 - Procesbevillingsnævnet,Andet
240 - Kontorfunktionærer,9.4,30309,0,5209,49,1122,87,375,0,37152,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.04 - Procesbevillingsnævnet,Andet
46 - Jurister/økonomer,4.3,39503,0,8558,1852,5448,0,0,0,55360,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.05 - Tinglysning,Andet
201 - Tjenestemænd,4.0,54359,0,12195,1447,19858,0,629,0,88489,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.05 - Tinglysning,Andet
240 - Kontorfunktionærer,73.4,31542,0,5562,34,1506,294,383,4,39325,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.05 - Tinglysning,Andet
46 - Jurister/økonomer,26.2,39356,0,8224,2715,3282,0,429,0,54006,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.06 - Ungdomskriminalitetsnævnet,Andet
240 - Kontorfunktionærer,9.1,28951,0,5160,0,2482,0,92,0,36684,"2026, 1. kvt.",§11 - Justitsministeriet,§11.41.06 - Ungdomskriminalitetsnævnet,Andet
46 - Jurister/økonomer,246.5,43891,0,9163,2939,5292,1514,1802,25,64626,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
49 - Magistre,17.0,41832,0,8568,3517,3390,1237,1194,0,59738,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
60 - Journalister,4.0,34030,0,12074,610,33546,507,1042,0,81808,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
188 - Officerer,19.8,43243,0,10797,6956,3594,7542,1355,1117,74603,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
189 - Mil.tjenestemænd,11.0,46487,0,8997,3896,8001,3038,2553,1867,74838,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
201 - Tjenestemænd,11.0,52143,0,13287,8061,16214,3366,1955,3,95029,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
228 - Faglærte Arbejdere,5.9,28951,0,6001,1051,5011,0,1043,326,42383,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
237 - Lærere m.fl. grundskoler,3.1,36770,0,7589,1869,3006,0,797,0,50032,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
240 - Kontorfunktionærer,32.1,31907,176,5965,817,4545,0,1049,39,44498,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
"643 - Officerer m.fl. OK, HOD",4.0,41568,0,9207,3160,4437,0,3385,1230,62988,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
22 - Civiløkonomer,22.3,42167,0,8677,2739,3208,527,1120,0,58438,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.15.01 - Forsvarsministeriets Regnskabsstyrelse,Styrelse
46 - Jurister/økonomer,49.1,45498,0,9248,1948,3622,614,983,2,61915,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.15.01 - Forsvarsministeriets Regnskabsstyrelse,Styrelse
49 - Magistre,6.0,41278,0,8049,2506,2019,0,1042,0,54893,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.15.01 - Forsvarsministeriets Regnskabsstyrelse,Styrelse
211 - Tjenestemandslignende,4.0,37200,0,7538,2441,3786,0,833,82,51880,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.15.01 - Forsvarsministeriets Regnskabsstyrelse,Styrelse
238 - IT-medarbejdere,4.0,42769,0,7495,590,2494,0,521,13,53882,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.15.01 - Forsvarsministeriets Regnskabsstyrelse,Styrelse
240 - Kontorfunktionærer,144.8,30144,0,5413,200,2633,0,410,101,38901,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.15.01 - Forsvarsministeriets Regnskabsstyrelse,Styrelse
22 - Civiløkonomer,5.0,47575,0,8318,2829,2975,2000,467,0,64165,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.23.01 - Forsvarsstaben,Andet
44 - Ingeniører,106.0,42520,0,9804,499,11975,28,227,14,65068,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.23.01 - Forsvarsstaben,Andet
46 - Jurister/økonomer,351.3,45257,37,9400,1636,5169,905,516,173,63092,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.23.01 - Forsvarsstaben,Andet
49 - Magistre,282.2,44258,0,9373,1656,6477,548,242,157,62711,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.23.01 - Forsvarsstaben,Andet
60 - Journalister,14.0,32633,0,6943,164,8195,145,649,1099,49827,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.23.01 - Forsvarsstaben,Andet
171 - Stampers.Tjm. HKKF,34.9,25767,140,5284,5431,3377,0,811,2813,43624,"2026, 1. kvt.",§12 - Forsvarsministeriet,§12.23.01 - Forsvarsstaben,Andet
