Personalekategori,Klasse/Lønramme,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,46.1,42972,0,9493,2796,5103,0,3573,0,63937,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,7.0,67914,0,16764,7023,0,16739,8750,0,117189,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,35 - Studerende             (HK),3.3,21177,0,3054,229,0,0,0,154,24614,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,70 - Løngrp1:Hovedst u.erhv.udd.,3.5,24300,0,4048,0,191,0,237,2,28779,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,4.0,32014,0,6586,0,7909,0,2500,0,49010,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,21.9,44464,0,9241,1718,4172,0,1201,0,60795,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,4.0,63202,0,16602,21723,0,5853,2500,0,109879,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,183.4,40176,77,8960,3465,3078,1988,621,0,58364,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,21.5,66103,0,17310,1435,12685,14840,464,0,112837,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
49 - Magistre,64 - Magistre,5.0,44923,0,11577,1597,7359,9327,0,0,74782,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
93 - Særligt aflønnede,0 - Ingen klasse,16.0,22294,0,2432,0,0,0,0,0,24726,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,35 - Studerende             (HK),17.3,21678,0,3162,66,0,0,58,0,24964,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,14.9,32735,0,6542,428,5999,479,179,9,46371,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,77.1,36757,28,7562,3196,1920,98,40,0,49603,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,35 - Studerende             (HK),3.4,20131,0,3080,94,0,0,0,0,23306,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,17.8,30329,253,5584,15,3057,0,152,0,39390,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,89 - Løngruppe 2 - provins,8.4,28517,0,4819,0,330,0,99,0,33764,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,20.6,41612,0,8550,1557,3606,755,296,0,56376,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,5.6,31271,0,5689,0,2966,0,400,0,40326,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
303 - Polititjenestemænd,33 - Lønramme 33,10.0,41131,0,8683,12231,0,0,83,0,62129,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
22 - Civiløkonomer,56 - Civiløkonomer,29.0,47942,0,10211,1244,6419,342,800,1,66958,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
35 - Fysioterapeuter,51 - Fysioterapeuter,7.5,35362,0,8371,1878,6268,0,0,0,51880,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
36 - Bygningskonstruktør,56 - Bygningskonstruktører,12.7,34842,0,8256,1433,8734,0,276,1,53542,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
38 - Bibliotekarer,55 - Cand. Scient.bibl.,8.0,47762,0,9852,1555,4086,250,573,0,64078,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
38 - Bibliotekarer,66 - Bibliotekarer,3.9,44946,0,8826,0,2361,417,213,0,56762,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
