Personalekategori,Stilling,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
46 - Jurister/økonomer,Chefkonsulent,16.9,50522,0,11054,2112,7432,0,4892,0,76012,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,17.0,32309,0,6853,4144,1654,0,2230,0,47191,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Kontorchef,4.0,56605,0,14062,6117,0,14001,7500,0,98285,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Specialkonsulent,11.0,46938,0,9750,2082,3840,0,3352,0,65962,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Kontorfunktionær,7.5,28408,0,5399,0,4301,0,1442,1,39551,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Studentermedhjælper,3.3,21177,0,3054,229,0,0,0,154,24614,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkonsulent,7.0,50522,0,10977,0,9129,0,1310,0,71938,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,Fuldmægtig,6.0,32630,0,7049,4091,2356,0,694,0,46821,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,Specialkonsulent,7.9,46938,0,8986,0,1677,0,1324,0,58925,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,Afdelingschef,6.0,82992,0,22221,5149,10112,24097,0,0,144570,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkons. m. personaleledelse,3.5,53609,0,11988,0,9361,2223,714,0,77895,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkonsulent,40.9,50583,0,11589,1914,4302,4847,1345,0,74581,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,93.0,31857,0,7285,5186,3044,333,208,0,47914,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Kontorchef,14.5,58667,0,15075,0,13295,10679,688,0,98404,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Specialkonsulent,46.0,46662,305,9750,1628,1492,2773,806,0,63415,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
93 - Særligt aflønnede,'-,15.0,21685,0,2223,0,0,0,0,0,23908,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Kontorelev,5.0,19406,0,3303,0,0,0,0,0,22709,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Kontorfuldmægtig,13.9,32325,0,6430,411,5690,514,72,10,45452,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Studentermedhjælper,16.3,21692,0,3167,58,0,0,61,0,24978,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,58.5,33030,37,7000,4212,1422,58,0,0,45758,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Souschef,4.0,51007,0,10732,0,6246,1041,313,0,69338,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Specialkonsulent,12.1,46938,0,8560,21,1892,0,152,0,57561,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,Kontorfunktionær,24.3,29402,185,5221,11,1773,0,112,0,36704,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,Studentermedhjælper,3.4,20131,0,3080,94,0,0,0,0,23306,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Chefkonsulent,4.0,50522,0,10982,0,9156,1460,417,0,72536,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
46 - Jurister/økonomer,Fuldmægtig,9.6,33609,0,6823,3348,1099,407,157,0,45444,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
46 - Jurister/økonomer,Specialkonsulent,6.0,47535,0,9529,0,3786,966,319,0,62136,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
240 - Kontorfunktionærer,Kontorfuldmægtig,4.6,31501,0,5662,0,2549,0,487,0,40199,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
303 - Polititjenestemænd,Seniorefterforsker,9.0,41131,0,8679,12236,0,0,93,0,62139,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
22 - Civiløkonomer,Chefkonsulent,8.0,51531,0,10452,1346,4900,0,642,4,68875,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
22 - Civiløkonomer,Specialkonsulent,7.0,47258,0,9324,176,2684,387,0,0,59828,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
35 - Fysioterapeuter,Fysioterapeut,6.0,33734,0,7952,1969,7328,0,0,0,50983,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
36 - Bygningskonstruktør,Bygningskonstruktør,11.0,34888,0,7960,1626,6922,0,205,2,51601,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
38 - Bibliotekarer,Specialkonsulent,4.0,47144,0,9032,0,1746,0,208,0,58131,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,Chefkonsulent,7.0,51674,0,11104,515,7690,922,1263,1,73170,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,Oversætter,5.5,41941,0,9816,146,7482,3557,16,3,62962,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,Specialkonsulent,12.6,47115,0,9348,0,1783,1704,300,91,60342,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Bilinspektør (C.ing),6.0,47311,0,10301,76,8523,0,139,111,66461,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Centerchef,4.0,54384,0,14454,0,11359,13149,1042,0,94388,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Chefkonsulent,33.7,50694,0,10763,108,7227,427,294,4,69517,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Fuldmægtig,13.8,32071,0,7888,3899,7776,0,235,0,51870,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Ingeniør,7.1,39402,1249,9369,0,9464,674,420,0,60578,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,IT-Ingeniør,5.0,41397,0,9267,0,8790,0,289,0,59743,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,IT-specialist,10.0,38247,0,8911,208,9668,302,200,0,57536,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Sektionsleder,6.0,53609,0,12749,91,15760,0,1528,0,83737,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Specialkonsulent,32.7,47496,237,9927,98,5079,268,467,22,63595,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Advokaturchef,23.0,58073,0,14159,0,6694,12494,3573,0,94993,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
