Personalekategori,Stilling,Løntrin,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
46 - Jurister/økonomer,Chefkonsulent,LR 36 (u.åremål),16.9,50522,0,11054,2112,7432,0,4892,0,76012,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,"AC basisløntrin 4, 2-årigt",5.0,29692,0,6041,3820,0,0,1708,0,41262,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 5,6.0,32001,0,6719,3820,1442,0,2569,0,46551,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 6,4.0,34106,0,7395,4362,2704,0,2396,0,50963,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Kontorchef,LR 37 (m.åremål),4.0,56605,0,14062,6117,0,14001,7500,0,98285,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Specialkonsulent,LR 35 (u.åremål),11.0,46938,0,9750,2082,3840,0,3352,0,65962,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkonsulent,LR 36 (u.åremål),7.0,50522,0,10977,0,9129,0,1310,0,71938,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,Specialkonsulent,LR 35 (u.åremål),7.9,46938,0,8986,0,1677,0,1324,0,58925,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,Afdelingschef,LR 39 (m.åremål),6.0,82992,0,22221,5149,10112,24097,0,0,144570,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkons. m. personaleledelse,LR 36 (pers.ledelse u.åremål),3.5,53609,0,11988,0,9361,2223,714,0,77895,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkonsulent,LR 36 (u.åremål),40.6,50560,0,11390,1928,4256,4884,1355,0,74374,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,"AC basisløntrin 4, 2-årigt",42.7,29569,0,6546,5565,1505,0,48,0,43234,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 5,23.0,32001,0,7250,4251,3954,149,750,0,48355,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 6,8.3,34106,0,8708,6440,4363,427,0,0,54045,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,AC basisløntrin 8,18.0,36181,0,8495,4981,5088,1330,0,0,56075,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Kontorchef,LR 37 (m.åremål),14.5,58667,0,15075,0,13295,10679,688,0,98404,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
