Stilling,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
Chefkonsulent,16.9,50522,0,11054,2112,7432,0,4892,0,76012,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Fuldmægtig,17.0,32309,0,6853,4144,1654,0,2230,0,47191,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Kontorchef,5.0,56604,0,13865,5197,0,13832,7667,0,97166,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Kontorfunktionær,7.5,28408,0,5399,0,4301,0,1442,1,39551,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Specialkonsulent,14.0,46938,0,9845,2097,4370,0,3467,0,66717,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Studentermedhjælper,3.3,21177,0,3054,229,0,0,0,154,24614,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Chefkonsulent,7.0,50522,0,10977,0,9129,0,1310,0,71938,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
Fuldmægtig,6.0,32630,0,7049,4091,2356,0,694,0,46821,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
Specialkonsulent,7.9,46938,0,8986,0,1677,0,1324,0,58925,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
'-,17.0,22280,0,2566,237,245,0,0,0,25327,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Afdelingschef,6.0,82992,0,22221,5149,10112,24097,0,0,144570,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Chefkons. m. personaleledelse,3.5,53609,0,11988,0,9361,2223,714,0,77895,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Chefkonsulent,42.9,50548,0,11542,1873,4495,4955,1458,0,74871,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Fuldmægtig,96.4,31850,0,7273,5155,3031,321,286,0,47917,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Kontorchef,17.5,59476,0,15375,752,12871,11209,570,0,100254,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Kontorelev,5.0,19406,0,3303,0,0,0,0,0,22709,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Kontorfuldmægtig,13.9,32325,0,6430,411,5690,514,72,10,45452,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Specialkonsulent,50.0,46684,281,9762,1665,1524,2776,741,0,63433,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Studentermedhjælper,16.3,21692,0,3167,58,0,0,61,0,24978,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Fuldmægtig,58.5,33030,37,7000,4212,1422,58,0,0,45758,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Kontorchef,4.0,56015,0,13252,5153,13663,0,0,0,88082,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Kontorfunktionær,24.3,29402,185,5221,11,1773,0,112,0,36704,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Souschef,4.0,51007,0,10732,0,6246,1041,313,0,69338,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Specialkonsulent,12.1,46938,0,8560,21,1892,0,152,0,57561,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Studentermedhjælper,3.4,20131,0,3080,94,0,0,0,0,23306,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Chefkonsulent,4.0,50522,0,10982,0,9156,1460,417,0,72536,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
Fuldmægtig,10.6,33698,0,6883,3509,1196,369,142,0,45796,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
Kontorfuldmægtig,4.6,31501,0,5662,0,2549,0,487,0,40199,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
Seniorefterforsker,9.0,41131,0,8679,12236,0,0,93,0,62139,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
Specialkonsulent,6.0,47535,0,9529,0,3786,966,319,0,62136,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
Advokaturchef,48.0,56079,0,12550,8627,3715,8197,3329,14,92509,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Afdelingschef,20.0,61445,0,16117,4820,12704,16086,688,125,111984,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Afdelingsleder,20.0,48545,0,11646,4333,11496,675,1663,86,78443,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Afsnitsleder,5.0,42041,0,9665,84,12819,1066,583,46,66304,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Analytiker,69.4,36969,144,8109,3267,4148,318,246,19,53220,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Anklager,194.1,36667,0,8154,4386,1929,2023,1551,167,54877,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Anklagerfuldmægtig,250.1,31557,0,6752,4093,225,1190,528,130,44475,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Applikationstekniker,4.0,37418,0,8488,4160,9186,0,7234,842,67329,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Assistent,27.8,27271,0,4745,128,844,141,18,471,33619,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Bachelor,7.1,29334,0,6418,4126,2193,0,353,0,42424,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Bilinspektør (C.ing),6.0,47311,0,10301,76,8523,0,139,111,66461,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Bygningskonstruktør,11.0,34888,0,7960,1626,6922,0,205,2,51601,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Centerchef,60.0,54331,0,13653,4094,11397,7465,1192,800,92931,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Chefanklager,14.0,61568,0,14274,11451,4309,20094,594,116,112406,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Chefkonsulent,385.2,50367,171,10389,930,4984,376,556,44,67815,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Chefpolitiinspektør,14.0,61186,0,14078,18745,1487,20183,387,126,116192,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Controller,5.0,35857,0,7587,3361,2357,324,0,0,49486,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Daktyloskopitekniker,12.0,33796,0,7562,29,4656,954,201,416,47614,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
